original_folder_name,cleaned_folder_name,original_file_name,cleaned_file_name,slug,alt_text,download_link
Celebrity_Photos,Celebrity_Photos,Michael_Saucedo_1_copy.jpg,Michael_Saucedo_1_copy.jpg,michael-saucedo-1-copy,Michael Saucedo 1 Copy,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Michael_Saucedo_1_copy.jpg
Celebrity_Photos,Celebrity_Photos,mickey_rourke_v2__copy.jpg,mickey_rourke_v2__copy.jpg,mickey-rourke-v2--copy,Mickey Rourke V2  Copy,https://hbapi.leeseaver.com/processed/Celebrity_Photos/mickey_rourke_v2__copy.jpg
Celebrity_Photos,Celebrity_Photos,Morgan_Freeman.jpg,Morgan_Freeman.jpg,morgan-freeman,Morgan Freeman,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Morgan_Freeman.jpg
Celebrity_Photos,Celebrity_Photos,paris_hilton_new_.jpg,paris_hilton_new_.jpg,paris-hilton-new-,Paris Hilton New ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/paris_hilton_new_.jpg
Celebrity_Photos,Celebrity_Photos,Paul_rodriguez_web.jpg,Paul_rodriguez_web.jpg,paul-rodriguez-web,Paul Rodriguez Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Paul_rodriguez_web.jpg
Celebrity_Photos,Celebrity_Photos,PIERCE_BROSNAN_1.jpg,PIERCE_BROSNAN_1.jpg,pierce-brosnan-1,Pierce Brosnan 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/PIERCE_BROSNAN_1.jpg
Celebrity_Photos,Celebrity_Photos,regina_king.jpg,regina_king.jpg,regina-king,Regina King,https://hbapi.leeseaver.com/processed/Celebrity_Photos/regina_king.jpg
Celebrity_Photos,Celebrity_Photos,scott_glenn_v3_.jpg,scott_glenn_v3_.jpg,scott-glenn-v3-,Scott Glenn V3 ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/scott_glenn_v3_.jpg
Celebrity_Photos,Celebrity_Photos,Selena_Perez.JPG,Selena_Perez.JPG,selena-perez,Selena Perez,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Selena_Perez.JPG
Celebrity_Photos,Celebrity_Photos,sharon_stone.jpg,sharon_stone.jpg,sharon-stone,Sharon Stone,https://hbapi.leeseaver.com/processed/Celebrity_Photos/sharon_stone.jpg
